Milk type,Marker
G,42.58920147
G,53.33152339
G,40.01250122
G,36.9037984
G,66.67300255
G,63.41442253
G,60.56760205
G,101.7212274
G,49.47209358
G,52.62963057
G,36.0964278
G,60.2264315
G,48.09562291
G,130.7656808
G,62.82967767
G,51.51545688
G,60.11925704
G,40.73620082
G,74.76497045
G,57.30004509
G,43.29869401
G,81.93460466
G,83.39292472
G,43.4366439
G,46.82979202
G,76.98505395
G,56.7385604
G,59.07253501
G,52.65819328
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
H,0
M,85.8605023
M,613.9885941
M,119.3780065
M,594.761162
M,471.304786
M,164.9467225
M,186.1645094
M,123.3080568
M,137.620703
M,181.4531104
M,221.3995701
M,435.7926824
M,192.3486891
M,209.0073614
M,344.4825995
M,161.5711149
M,170.2951228
M,263.6967657
M,213.9310561
M,109.4617233
M,91.12790995
M,268.5923044
M,189.6810352
M,264.3534569
M,215.8797873
M,265.3745574
M,128.8435041
M,228.5423358
M,250.0507224
M,260.8420271
