year,parcel,date_ord,replicatewithinparcel,LAI,growthcycle,swardtype,phenologicalstage,lodging,yield,,,
2021,P1,1,1,0.5859,1,C,0,0,0.22,,,
2021,P1,1,2,0,1,A,0,0,0.1,,,
2021,P1,1,3,0.1757,1,A,0,0,0.05,,,
2021,P1,1,4,0.6595,1,A,0,0,0.48,,,
2021,P1,2,1,3.8414,1,A,1,0,2.16,,,
2021,P1,2,2,3.2448,1,A,1,0,1.34,,,
2021,P1,2,3,4.1139,1,A,1,0,2.27,,,
2021,P1,2,4,4.2454,1,B,1,0,2.85,,,
2021,P1,3,1,4.5808,1,A,1.5,0,3.38,,,
2021,P1,3,2,5.2113,1,C,1.5,0,3.09,,,
2021,P1,3,3,4.615,1,A,1.5,0,3.03,,,
2021,P1,3,4,4.0789,1,B,1.5,0,2.54,,,
2021,P1,4,1,5.501,1,A,2,0,4.41,,,
2021,P1,4,2,7.1077,1,B,2,0,5.91,,,
2021,P1,4,3,5.6298,1,A,2,0,4.74,,,
2021,P1,4,4,6.2571,1,B,2,0,4.63,,,
2021,P1,5,1,5.0827,1,A,3,0,3.07,,,
2021,P1,5,2,5.4746,1,B,3,0,5.52,,,
2021,P1,5,3,5.058,1,C,3,0,3.99,,,
2021,P1,5,4,5.8089,1,A,3,0,3.45,,,
2021,P1,6,1,5.2587,1,C,3,3,5.59,,,
2021,P1,6,2,5.7933,1,C,3,3,5.58,,,
2021,P1,6,3,5.9585,1,A,3,3,5.04,,,
2021,P1,6,4,5.6298,1,A,3,3,5,,,
2021,P1,7,1,7.0632,1,A,4,3,7.21,,,
2021,P1,7,2,7.8593,1,C,4,3,8.42,,,
2021,P1,7,3,5.3423,1,C,4,3,4.88,,,
2021,P1,7,4,6.1086,1,B,4,3,4.53,,,
2021,P1,8,1,0.7331,2,A,0,0,0.34,,,
2021,P1,8,2,0.6398,2,A,0,0,0.12,,,
2021,P1,8,3,1.0087,2,A,0,0,0.48,,,
2021,P1,8,4,0.9864,2,A,0,0,0.17,,,
2021,P1,9,1,1.986,2,B,0,0,0.98,,,
2021,P1,9,2,1.765,2,B,0,0,0.47,,,
2021,P1,9,3,1.7432,2,C,0,0,0.37,,,
2021,P1,9,4,2.2016,2,A,0,0,0.85,,,
2021,P1,10,1,1.9997,2,A,0,0,0.33,,,
2021,P1,10,2,2.171,2,A,0,0,0.84,,,
2021,P1,10,3,2.8397,2,A,0,0,1.15,,,
2021,P1,10,4,3.1771,2,B,0,0,1.54,,,
2021,P1,11,1,3.5604,2,A,1,0,1.83,,,
2021,P1,11,2,6.3346,2,C,1,0,3.35,,,
2021,P1,11,3,4.063,2,A,1,0,3.3,,,
2021,P1,11,4,3.8619,2,A,1,0,1.93,,,
2021,P1,12,1,5.1325,2,A,2,1,4.04,,,
2021,P1,12,2,5.6171,2,A,2,1,2.72,,,
2021,P1,12,3,5.9958,2,A,2,1,2.36,,,
2021,P1,12,4,3.4906,2,A,2,1,2.75,,,
2021,P1,13,1,4.6733,2,A,3,2,2.96,,,
2021,P1,13,2,4.3624,2,A,3,2,3.71,,,
2021,P1,13,3,5.9102,2,A,3,2,5.22,,,
2021,P1,13,4,6.2499,2,A,3,2,5.33,,,
2021,P1,14,1,1.361,3,A,0,0,0.18,,,
2021,P1,14,2,0.675,3,A,0,0,0.25,,,
2021,P1,14,3,1.2332,3,A,0,0,0.36,,,
2021,P1,14,4,1.454,3,A,0,0,0.58,,,
2021,P1,15,1,1.1091,3,A,0,0,0.48,,,
2021,P1,15,2,1.1835,3,B,0,0,0.68,,,
2021,P1,15,3,1.7799,3,A,0,0,0.74,,,
2021,P1,15,4,1.9991,3,A,0,0,1.08,,,
2021,P1,16,1,2.084,3,A,0,0,1.27,,,
2021,P1,16,2,2.2145,3,A,0,0,1.49,,,
2021,P1,16,3,2.859,3,A,0,0,1,,,
2021,P1,16,4,2.7326,3,B,0,0,0.98,,,
2021,P1,17,1,3.8226,3,A,0,1,1.92,,,
2021,P1,17,2,3.7974,3,B,0,1,2.52,,,
2021,P1,17,3,3.1303,3,A,0,1,2.06,,,
2021,P1,17,4,3.8058,3,B,0,1,1.77,,,
2021,P2,1,1,0.982,1,A,0,0,0.65,,,
2021,P2,1,2,0.5683,1,A,0,0,0.63,,,
2021,P2,1,3,0.2375,1,A,0,0,0.28,,,
2021,P2,1,4,0.4693,1,A,0,0,0.41,,,
2021,P2,2,1,3.5387,1,A,1,0,2.72,,,
2021,P2,2,2,3.7583,1,A,1,0,1.84,,,
2021,P2,2,3,3.1111,1,A,1,0,1.94,,,
2021,P2,2,4,2.7896,1,A,0,0,1.52,,,
2021,P2,3,1,4.9317,1,A,1.5,0,2.91,,,
2021,P2,3,2,7.2501,1,A,1.5,0,3.28,,,
2021,P2,3,3,3.159,1,A,1.5,0,2.18,,,
2021,P2,3,4,2.2671,1,A,1.5,0,1.57,,,
2021,P2,4,1,5.0031,1,A,2,0,5.82,,,
2021,P2,4,2,4.0953,1,A,2,0,4.2,,,
2021,P2,4,3,5.3297,1,A,2,0,3.42,,,
2021,P2,4,4,6.794,1,A,2,0,4.74,,,
2021,P2,5,1,6.1149,1,A,3,0,5.48,,,
2021,P2,5,2,3.6811,1,A,3,0,3.04,,,
2021,P2,5,3,4.1724,1,A,3,0,4.29,,,
2021,P2,5,4,6.3036,1,A,3,0,4.91,,,
2021,P2,6,1,5.8752,1,A,3,2,7.07,,,
2021,P2,6,2,4.5896,1,A,3,2,5.25,,,
2021,P2,6,3,5.7795,1,A,3,2,6.29,,,
2021,P2,6,4,5.3261,1,A,3,2,5.12,,,
2021,P2,7,1,5.4435,1,A,4,3,7.93,,,
2021,P2,7,2,4.9642,1,A,4,3,5.39,,,
