year,season,silagetype,farmcode,samplingweek,samplingperiod,markerin,markerout
1,winter,A,4,1,1,9.658389292,36.49047603
1,winter,A,4,2,1,9.368312806,30.63224523
1,winter,A,4,3,1,10.19641213,52.13322482
1,winter,A,7,1,1,5.894741279,23.66243725
1,winter,A,7,2,1,6.030579316,35.82622941
1,winter,A,7,3,1,5.675803704,26.69327344
1,winter,A,10,1,1,0.081174592,26.62029809
1,winter,A,10,2,1,0.02,0
1,winter,A,10,3,1,0.450896616,24.99866013
1,winter,A,11,1,1,3.797932206,28.03950439
1,winter,A,11,2,1,2.715247384,35.52262785
1,winter,A,11,3,1,3.882911059,20.81737026
1,winter,A,16,1,1,0,22.48548781
1,winter,A,16,2,1,0,34.46007507
1,winter,A,16,3,1,0,28.43520969
1,winter,A,18,1,1,6.401536722,0
1,winter,A,18,2,1,5.790115635,25.84277132
1,winter,A,18,3,1,6.199568463,26.09855323
1,winter,A,19,1,1,0,0
1,winter,A,19,2,1,0,0
1,winter,A,19,3,1,0,0
1,winter,A,20,2,1,8.823501689,25.35431893
1,winter,A,20,3,1,7.65968973,24.82060851
1,winter,A,21,1,1,0,0
1,winter,A,21,2,1,0,0
1,winter,A,21,3,1,0,0
1,winter,A,23,1,1,10.16196546,184.9438373
1,winter,A,23,2,1,11.48748908,41.62834475
1,winter,A,23,3,1,12.45892913,36.20382055
1,winter,A,25,1,1,0.730767472,0
1,winter,A,25,2,1,1.732062121,0
1,winter,A,25,3,1,1.033793919,0
1,winter,A,27,1,1,0,0
1,winter,A,27,2,1,0,0
1,winter,A,27,3,1,0,0
1,winter,B,1,1,1,82.52581294,405.6120803
1,winter,B,1,2,1,82.49919002,494.6849749
1,winter,B,1,3,1,81.6749519,429.5047872
1,winter,B,2,1,1,20.33658017,25.8118258
1,winter,B,2,2,1,21.04320095,26.10903346
1,winter,B,2,3,1,21.12012491,27.50626547
1,winter,B,3,1,1,25.58928748,544.7888397
1,winter,B,3,2,1,25.50605383,735.0375424
1,winter,B,3,3,1,25.81723588,571.2923704
1,winter,B,5,1,1,43.13380567,215.2234541
1,winter,B,5,2,1,43.86946493,24.07410147
1,winter,B,5,3,1,44.30400781,28.01080717
1,winter,B,6,1,1,5.512148928,95.45649334
1,winter,B,6,2,1,5.106169985,109.3780546
1,winter,B,6,3,1,4.546411171,99.90410538
1,winter,B,9,1,1,0,0
1,winter,B,9,2,1,0,0
1,winter,B,9,3,1,0,0
1,winter,B,12,1,1,52.05760965,462.3540391
1,winter,B,12,2,1,52.64763383,393.9179533
1,winter,B,12,3,1,52.02471572,426.978598
1,winter,B,13,1,1,11.12016668,87.21110575
1,winter,B,13,2,1,11.76817985,108.1850583
1,winter,B,13,3,1,10.5378278,84.62630651
1,winter,B,17,1,1,11.07482853,41.67342049
1,winter,B,17,2,1,11.26722126,50.80927455
1,winter,B,17,3,1,11.75135553,62.11534776
1,winter,B,26,1,1,0,0
1,winter,B,26,2,1,0,0
1,winter,B,26,3,1,0,0
1,winter,B,29,1,1,31.73559922,161.4040823
1,winter,B,29,2,1,30.55831922,94.53377469
1,winter,B,29,3,1,36.48746936,25.83378984
1,summer,A,7,1,2,76.18520343,25.11759992
1,summer,A,7,2,2,76.94686594,29.8460172
1,summer,A,7,3,2,78.53090296,23.80479403
1,summer,A,10,1,2,0.05,17.7094556
1,summer,A,10,2,2,0.344479006,23.55371648
1,summer,A,10,3,2,0.05,15.2692864
1,summer,A,11,1,2,7.012405962,64.84415172
