y,x
0.02,0.13
0.53,2.63
0.32,0.37
-0.57,3.69
-1.11,4.46
-0.01,0
0.59,0.79
-0.87,3.81
0.73,0.9
0.63,0.51
-1.09,4.69
0.57,0.5
0.75,1.67
0.84,1.01
0.08,0.01
-0.65,3.9
0.1,0.08
-0.1,0
0.06,0.19
-1.15,4.66
-0.57,3.77
0.84,1.78
0.91,1.41
-0.89,5.27
1.27,1.51
0.85,1.91
0.8,0.86
0.91,1.12
-0.02,0.13
0.01,0.02
-0.78,4.79
-0.65,3.94
0.99,1.77
0.37,2.7
-0.31,0
0.72,0.58
0.5,2.34
0.17,0.05
0.46,0.17
-0.15,0.07
0.12,0.02
0.33,0.38
0.13,0.38
0.04,0.27
-0.22,0.02
-0.07,0.01
-0.15,0.07
0.62,0.54
0.42,0.1
-0.43,3.38
0.12,0
0.56,0.46
0.45,2.73
-0.14,0.01
0.79,0.95
0.01,0.05
0.1,0.01
0.7,2.29
-0.5,3.84
0.22,0.28
1.16,1.58
-0.15,0
0.11,0.3
0.6,0.11
0.18,2.9
0.51,0.48
0.38,2.85
0.19,2.87
0.52,2.69
0.5,0.46
0.71,2.3
0.98,1.34
0.93,1.92
0.32,0
0.43,0.58
-0.11,0.06
0.3,0.29
0.99,1.23
0.3,0.23
-0.06,0.01
-0.08,0.08
1.19,1.6
0.33,0.39
0.36,2.62
-0.03,0.01
0.4,0.44
-0.75,5.12
-0.61,3.82
-0.44,3.73
-0.05,0.03
0.04,0.01
0.95,1.49
0.23,0.22
0.86,1.52
-0.02,0.18
0.34,0.04
0.63,2.57
-0.18,0
0.43,0.55
0.48,0.72
0.81,1.16
0.23,0.2
0.55,0.63
-1.05,4.66
0.42,0.6
-0.6,3.78
-0.93,4.1
0.69,1.21
0.31,0.37
0.15,0.02
-1.03,4.38
0.24,0.15
-0.24,0
-1,4.56
0.98,2.01
0.06,0.02
0.79,0.89
-1.09,4.65
0.75,1.08
0.19,0.35
1.01,1.46
0.03,0.18
0.08,0.16
0.02,0.06
0.54,0.27
-1.02,5.11
0.05,0.02
0.02,0
-0.13,0.02
0.97,1.76
1.17,1.27
-0.54,3.8
1,1.63
0.78,2.15
0.38,0.76
1.17,1.54
-0.05,2.97
0.62,2.61
-0.66,5.04
0.22,0.45
0.27,0.16
0.32,0.37
-0.24,0
-0.19,0.03
-0.31,3.21
-0.01,0.07
-0.15,0.07
0.11,0
0.39,0.08
0.67,2.1
-0,3.26
0.73,0.66
0.36,0.31
-0.07,0.08
-0.01,0.01
0.27,0.32
0.93,1
-0,0.05
0.6,0.47
-0,0.06
0.79,0.68
0.08,0.24
0.81,1.47
0.76,0.28
0.18,0.24
0.77,0.81
0.92,2.17
-0.01,0.06
0.45,0.38
0.16,0.1
0.94,1.34
0.04,0.03
-0.31,3.45
1.11,2.23
0.89,1.6
0.79,1.27
0.28,0.28
0.76,0.8
-0.36,3.59
0.8,1.06
-0.19,3.17
0.35,0.16
0.89,1.9
-0.03,0.1
0.87,1.13
0.53,0.6
0.27,0.1
0.83,0.96
-0.69,4.08
-0.79,3.93
0.14,0.11
0.13,0.18
-0.9,5.13
0.82,1.28
-1.15,4.41
0.82,0.54
0.44,0.36
0.81,1.54
-0.07,0.02
0.67,1.01
