wage,year,age,maritl,education
75.04315402,2006,18,1. Never Married,1. < HS Grad
70.47601965,2004,24,1. Never Married,4. College Grad
130.9821774,2003,45,2. Married,3. Some College
154.685293,2003,43,2. Married,4. College Grad
75.04315402,2005,50,4. Divorced,2. HS Grad
127.1157438,2008,54,2. Married,4. College Grad
169.528538,2009,44,2. Married,3. Some College
111.7208494,2008,30,1. Never Married,3. Some College
118.8843593,2006,41,1. Never Married,3. Some College
128.6804882,2004,52,2. Married,2. HS Grad
117.1468169,2007,45,4. Divorced,3. Some College
81.28325328,2007,34,2. Married,2. HS Grad
89.49247952,2005,35,1. Never Married,2. HS Grad
134.7053751,2003,39,2. Married,4. College Grad
134.7053751,2009,54,2. Married,2. HS Grad
90.48191336,2009,51,2. Married,3. Some College
82.6796373,2003,37,1. Never Married,4. College Grad
212.8423523,2006,50,2. Married,5. Advanced Degree
129.156693,2007,56,2. Married,4. College Grad
98.59934386,2003,37,1. Never Married,3. Some College
200.5432623,2003,38,2. Married,4. College Grad
50.40666086,2005,40,4. Divorced,2. HS Grad
85.38394038,2009,75,2. Married,4. College Grad
160.6424754,2007,40,2. Married,4. College Grad
94.07271475,2006,38,1. Never Married,2. HS Grad
277.6014175,2005,49,2. Married,5. Advanced Degree
84.04595765,2006,43,2. Married,2. HS Grad
65.11085372,2004,34,2. Married,2. HS Grad
116.2653241,2008,57,2. Married,2. HS Grad
70.47601965,2003,18,1. Never Married,2. HS Grad
195.676308,2004,55,2. Married,5. Advanced Degree
101.4020523,2005,51,2. Married,3. Some College
81.28325328,2008,33,1. Never Married,5. Advanced Degree
111.7208494,2005,34,1. Never Married,2. HS Grad
89.88004678,2006,36,2. Married,4. College Grad
87.98103279,2003,56,1. Never Married,5. Advanced Degree
87.98103279,2006,70,1. Never Married,4. College Grad
103.9024706,2004,25,1. Never Married,4. College Grad
105.9278108,2006,32,2. Married,3. Some College
66.22940829,2003,27,2. Married,1. < HS Grad
34.60741773,2004,28,2. Married,4. College Grad
109.8339856,2007,27,1. Never Married,4. College Grad
45.28216999,2004,43,1. Never Married,1. < HS Grad
73.77574327,2005,50,1. Never Married,1. < HS Grad
81.28325328,2004,39,2. Married,2. HS Grad
154.685293,2008,52,2. Married,5. Advanced Degree
267.9010869,2009,35,2. Married,4. College Grad
176.9896505,2007,57,2. Married,5. Advanced Degree
66.22940829,2006,25,1. Never Married,1. < HS Grad
116.2653241,2006,33,1. Never Married,2. HS Grad
200.5432623,2005,57,2. Married,5. Advanced Degree
101.8243521,2008,71,2. Married,3. Some College
272.2947832,2004,43,2. Married,4. College Grad
35.03342132,2003,23,1. Never Married,3. Some College
114.4757133,2009,30,1. Never Married,5. Advanced Degree
81.28325328,2004,22,1. Never Married,2. HS Grad
200.5432623,2006,59,2. Married,5. Advanced Degree
148.4131591,2003,28,1. Never Married,4. College Grad
99.6894637,2004,61,2. Married,2. HS Grad
111.7208494,2003,34,2. Married,2. HS Grad
152.838801,2005,43,2. Married,4. College Grad
117.1468169,2006,54,2. Married,3. Some College
77.7376033,2005,69,2. Married,2. HS Grad
87.98103279,2004,41,2. Married,3. Some College
125.5254984,2003,48,2. Married,5. Advanced Degree
123.336104,2003,49,2. Married,3. Some College
158.2946214,2009,42,2. Married,2. HS Grad
200.5432623,2003,37,2. Married,4. College Grad
99.6894637,2004,55,2. Married,2. HS Grad
70.47601965,2008,21,1. Never Married,2. HS Grad
94.07271475,2004,58,2. Married,2. HS Grad
81.28325328,2006,31,1. Never Married,2. HS Grad
81.28325328,2006,25,1. Never Married,2. HS Grad
100.7642728,2006,32,1. Never Married,3. Some College
94.07271475,2009,40,1. Never Married,1. < HS Grad
99.6894637,2003,44,2. Married,5. Advanced Degree
268.266292,2003,60,2. Married,4. College Grad
81.28325328,2006,23,1. Never Married,1. < HS Grad
113.5670896,2003,63,2. Married,2. HS Grad
87.98103279,2008,44,1. Never Married,1. < HS Grad
128.6804882,2005,47,2. Married,5. Advanced Degree
106.7239776,2004,61,2. Married,3. Some College
66.04469423,2009,55,2. Married,5. Advanced Degree
51.52195631,2003,24,1. Never Married,1. < HS Grad
85.38394038,2007,42,3. Widowed,2. HS Grad
76.89360252,2006,25,2. Married,2. HS Grad
90.48191336,2004,34,4. Divorced,2. HS Grad
68.07642829,2009,53,2. Married,1. < HS Grad
130.9821774,2009,53,2. Married,4. College Grad
127.901233,2009,70,2. Married,5. Advanced Degree
131.2245938,2004,47,2. Married,4. College Grad
99.6894637,2003,46,2. Married,2. HS Grad
76.89360252,2003,33,4. Divorced,1. < HS Grad
107.9039239,2005,34,2. Married,5. Advanced Degree
81.28325328,2006,22,1. Never Married,2. HS Grad
99.6894637,2009,74,2. Married,2. HS Grad
98.59934386,2003,40,2. Married,3. Some College
200.5432623,2006,45,2. Married,4. College Grad
156.5035109,2009,43,2. Married,4. College Grad
144.944365,2005,33,2. Married,4. College Grad
118.8843593,2009,62,2. Married,4. College Grad
121.4303138,2008,37,2. Married,4. College Grad
111.7208494,2004,54,2. Married,2. HS Grad
68.74808773,2005,34,2. Married,3. Some College
114.4757133,2008,50,1. Never Married,4. College Grad
95.23071257,2006,46,4. Divorced,3. Some College
87.98103279,2007,41,2. Married,1. < HS Grad
64.27439722,2003,63,4. Divorced,3. Some College
128.6804882,2007,38,2. Married,3. Some College
114.4757133,2006,35,2. Married,3. Some College
112.6488963,2009,29,2. Married,4. College Grad
81.28325328,2008,66,2. Married,1. < HS Grad
75.89548482,2004,37,2. Married,2. HS Grad
112.136923,2006,39,2. Married,2. HS Grad
85.38394038,2003,42,2. Married,2. HS Grad
94.07271475,2007,51,4. Divorced,2. HS Grad
114.4757133,2009,55,2. Married,5. Advanced Degree
176.9896505,2006,51,2. Married,5. Advanced Degree
276.7784133,2008,38,2. Married,5. Advanced Degree
101.8243521,2005,49,2. Married,2. HS Grad
91.69922611,2006,42,2. Married,2. HS Grad
86.69515483,2009,43,5. Separated,1. < HS Grad
162.9464607,2006,38,2. Married,4. College Grad
139.2137881,2008,59,2. Married,2. HS Grad
95.23071257,2009,57,2. Married,3. Some College
66.96164432,2005,25,1. Never Married,2. HS Grad
131.1943236,2004,49,2. Married,4. College Grad
90.48191336,2004,41,2. Married,1. < HS Grad
114.4757133,2009,38,2. Married,2. HS Grad
79.1280845,2003,61,2. Married,5. Advanced Degree
104.5917379,2007,49,4. Divorced,2. HS Grad
132.4878211,2008,52,4. Divorced,5. Advanced Degree
141.7751723,2007,43,2. Married,5. Advanced Degree
123.0896998,2008,60,2. Married,4. College Grad
134.7053751,2005,46,2. Married,5. Advanced Degree
55.76739051,2004,21,1. Never Married,2. HS Grad
106.9218141,2009,61,2. Married,4. College Grad
118.8843593,2007,32,2. Married,5. Advanced Degree
87.98103279,2004,58,2. Married,2. HS Grad
88.92960664,2003,35,1. Never Married,2. HS Grad
81.28325328,2004,26,1. Never Married,2. HS Grad
94.07271475,2006,32,1. Never Married,2. HS Grad
106.9218141,2003,37,2. Married,2. HS Grad
59.09706408,2007,22,1. Never Married,2. HS Grad
65.11085372,2005,51,1. Never Married,2. HS Grad
120.5894365,2004,44,4. Divorced,5. Advanced Degree
157.7005277,2005,35,2. Married,5. Advanced Degree
129.4536446,2004,60,2. Married,2. HS Grad
176.9896505,2007,40,2. Married,4. College Grad
59.09706408,2004,35,1. Never Married,1. < HS Grad
94.07271475,2007,35,2. Married,5. Advanced Degree
134.7053751,2008,47,2. Married,2. HS Grad
81.28325328,2003,43,1. Never Married,4. College Grad
81.28325328,2003,33,2. Married,1. < HS Grad
153.4575153,2003,60,4. Divorced,5. Advanced Degree
136.8763676,2008,38,2. Married,5. Advanced Degree
75.04315402,2005,53,2. Married,2. HS Grad
130.2208324,2004,55,2. Married,3. Some College
104.9215065,2003,57,2. Married,2. HS Grad
49.55533812,2005,64,2. Married,4. College Grad
123.9085676,2007,43,2. Married,2. HS Grad
123.0896998,2008,35,2. Married,3. Some College
78.15516141,2008,54,2. Married,2. HS Grad
73.77574327,2007,45,2. Married,2. HS Grad
138.2991269,2003,58,4. Divorced,4. College Grad
127.1157438,2007,48,2. Married,4. College Grad
68.74808773,2003,46,2. Married,1. < HS Grad
84.39111475,2004,46,2. Married,2. HS Grad
85.38394038,2009,55,2. Married,1. < HS Grad
128.6804882,2006,51,2. Married,3. Some College
70.47601965,2005,49,2. Married,3. Some College
76.89360252,2008,34,1. Never Married,3. Some College
148.4131591,2007,53,2. Married,3. Some College
148.4131591,2004,40,2. Married,3. Some College
175.9608831,2009,50,2. Married,3. Some College
98.59934386,2006,37,4. Divorced,1. < HS Grad
145.1436012,2003,39,2. Married,3. Some College
99.6894637,2004,52,2. Married,4. College Grad
141.0888744,2003,50,2. Married,2. HS Grad
123.0896998,2006,48,2. Married,4. College Grad
129.4536446,2006,47,2. Married,2. HS Grad
111.7208494,2005,27,2. Married,4. College Grad
103.9024706,2006,39,2. Married,2. HS Grad
118.8843593,2009,44,2. Married,2. HS Grad
151.5914842,2003,37,2. Married,3. Some College
101.8243521,2006,52,2. Married,2. HS Grad
