diet,sex,subject,day,weight
ag,male,1,1,2.4
ag,female,2,1,NA
ag,female,7,1,4.5
ag,male,8,1,NA
ag,female,9,1,3.7
ag,female,12,1,5.4
ag,male,14,1,5.4
ag,female,15,1,4.2
ag,female,16,1,2.6
ag,male,18,1,4.7
ag,female,19,1,4.9
ag,female,20,1,NA
ag,male,23,1,5
ag,female,24,1,3.5
ag,male,26,1,3.4
ag,male,28,1,5.3
ag,female,30,1,NA
ag,female,31,1,4.8
ag,female,36,1,2
ag,male,39,1,3.5
ag,male,40,1,2.6
ag,female,41,1,NA
ag,male,42,1,5.8
ag,female,48,1,3.4
ds,female,51,1,NA
ds,female,52,1,3.7
ds,female,53,1,7
ds,female,54,1,5.6
ds,male,56,1,5.6
ds,male,57,1,NA
ds,female,58,1,7.4
ds,female,59,1,5.5
ds,female,60,1,NA
ds,female,61,1,4.3
ds,female,62,1,7.1
ds,female,63,1,3.3
ds,female,65,1,4.1
ds,male,66,1,4.1
ds,female,68,1,5.7
ds,male,69,1,5.4
ds,female,70,1,4.5
ds,female,71,1,7.8
ds,male,72,1,4.2
ds,male,73,1,4.8
ds,female,74,1,5.2
ds,male,75,1,4.7
ds,female,76,1,NA
ds,male,77,1,5.2
ds,male,78,1,6.7
ds,male,79,1,4.8
ds,female,80,1,3.1
ds,male,81,1,7.2
ds,female,82,1,8
ds,female,83,1,NA
ds,female,84,1,4.8
ds,male,85,1,4.6
ds,male,86,1,3.2
ds,female,87,1,NA
ds,male,88,1,NA
ds,male,89,1,4.4
ds,male,90,1,7.1
ds,female,91,1,7
ds,male,93,1,5
ds,male,94,1,6
ds,female,95,1,4.3
ds,male,96,1,NA
ds,female,99,1,9.6
ds,female,100,1,NA
sf,male,101,1,2.5
sf,male,107,1,4.6
sf,female,112,1,NA
sf,female,113,1,2.9
sf,male,115,1,NA
sf,male,120,1,2.7
sf,female,123,1,NA
sf,male,135,1,NA
sf,female,139,1,NA
sf,male,150,1,4.7
ag,male,1,2,5.3
ag,female,2,2,3.8
ag,female,7,2,7.7
ag,male,8,2,2.5
ag,female,9,2,5.2
ag,female,12,2,8.5
ag,male,14,2,7
ag,female,15,2,7.5
ag,female,16,2,5.2
ag,male,18,2,7.3
ag,female,19,2,6.5
ag,female,20,2,2.6
ag,male,23,2,7.4
ag,female,24,2,7.7
ag,male,26,2,4.5
ag,male,28,2,8.4
ag,female,30,2,5.7
ag,female,31,2,7.3
ag,female,36,2,6.8
ag,male,39,2,5.9
ag,male,40,2,5.2
ag,female,41,2,3.2
ag,male,42,2,8.6
ag,female,48,2,8
ds,female,51,2,5.1
ds,female,52,2,9
ds,female,53,2,9.6
ds,female,54,2,8.3
ds,male,56,2,6.7
ds,male,57,2,5.2
ds,female,58,2,9
ds,female,59,2,7.7
ds,female,60,2,1.1
ds,female,61,2,8.2
ds,female,62,2,8
ds,female,63,2,6.1
ds,female,65,2,4.6
ds,male,66,2,3.5
ds,female,68,2,9.5
ds,male,69,2,7.2
ds,female,70,2,8.5
ds,female,71,2,8.8
ds,male,72,2,6.9
ds,male,73,2,6.4
ds,female,74,2,9
ds,male,75,2,6.5
ds,female,76,2,6.6
ds,male,77,2,8.7
ds,male,78,2,9.9
ds,male,79,2,8.7
ds,female,80,2,7.5
ds,male,81,2,8
ds,female,82,2,10.6
ds,female,83,2,2
ds,female,84,2,8.3
ds,male,85,2,9.7
ds,male,86,2,7.9
ds,female,87,2,2.9
ds,male,88,2,4.5
ds,male,89,2,8.7
ds,male,90,2,9.2
ds,female,91,2,8.3
ds,male,93,2,7.7
ds,male,94,2,7.6
ds,female,95,2,7.9
ds,male,96,2,4.6
ds,female,99,2,10.5
ds,female,100,2,7.6
sf,male,101,2,2.9
sf,male,107,2,3.5
sf,female,112,2,3.3
sf,female,113,2,2.3
sf,male,115,2,2.9
sf,male,120,2,4.9
sf,female,123,2,NA
sf,male,135,2,4.2
sf,female,139,2,3.1
sf,male,150,2,5.3
ag,male,1,3,9.3
ag,female,2,3,6.8
ag,female,7,3,7.6
ag,male,8,3,5.1
ag,female,9,3,8.2
ag,female,12,3,8.1
ag,male,14,3,8.3
ag,female,15,3,9.3
ag,female,16,3,7
ag,male,18,3,9.1
ag,female,19,3,10
ag,female,20,3,9
ag,male,23,3,7.2
ag,female,24,3,8.6
ag,male,26,3,9.1
ag,male,28,3,7.6
ag,female,30,3,8
ag,female,31,3,8
ag,female,36,3,8.2
ag,male,39,3,8.1
ag,male,40,3,10.1
ag,female,41,3,6
ag,male,42,3,7.7
ag,female,48,3,9.2
ds,female,51,3,7.7
ds,female,52,3,8
ds,female,53,3,8.5
ds,female,54,3,8
ds,male,56,3,6.3
ds,male,57,3,7.6
ds,female,58,3,9
ds,female,59,3,8.1
ds,female,60,3,4.3
ds,female,61,3,7.8
ds,female,62,3,9
ds,female,63,3,5.5
ds,female,65,3,6.6
ds,male,66,3,4
ds,female,68,3,10.2
ds,male,69,3,7.5
ds,female,70,3,8.3
ds,female,71,3,15.7
ds,male,72,3,6.5
ds,male,73,3,7.2
ds,female,74,3,8.2
ds,male,75,3,8.3
ds,female,76,3,10.5
ds,male,77,3,8.5
ds,male,78,3,15.5
ds,male,79,3,8.2
ds,female,80,3,9.5
ds,male,81,3,9
ds,female,82,3,12.5
ds,female,83,3,6.3
ds,female,84,3,8.2
ds,male,85,3,9.1
ds,male,86,3,9.3
ds,female,87,3,6.3
ds,male,88,3,6.5
ds,male,89,3,9.4
ds,male,90,3,8.3
ds,female,91,3,7
ds,male,93,3,7.8
ds,male,94,3,6.7
ds,female,95,3,10.1
ds,male,96,3,8.2
ds,female,99,3,20.4
ds,female,100,3,8.7
sf,male,101,3,5.4
sf,male,107,3,6.6
sf,female,112,3,5.2
sf,female,113,3,6.9
sf,male,115,3,2.9
sf,male,120,3,6.6
sf,female,123,3,4
sf,male,135,3,6.1
sf,female,139,3,3.4
sf,male,150,3,7.8
ag,male,1,4,11.4
ag,female,2,4,7.8
ag,female,7,4,13.5
ag,male,8,4,4.5
ag,female,9,4,11.5
ag,female,12,4,10.5
ag,male,14,4,8.2
ag,female,15,4,10.4
ag,female,16,4,6.6
ag,male,18,4,10.2
ag,female,19,4,16.7
ag,female,20,4,8.6
ag,male,23,4,10.5
ag,female,24,4,10.1
ag,male,26,4,8.9
ag,male,28,4,9.5
ag,female,30,4,8.4
ag,female,31,4,9.2
ag,female,36,4,9.4
ag,male,39,4,10.5
ag,male,40,4,9.6
ag,female,41,4,5.9
ag,male,42,4,15.4
ag,female,48,4,11.6
ds,female,51,4,13.7
ds,female,52,4,18.1
ds,female,53,4,26.1
ds,female,54,4,17.5
ds,male,56,4,20
ds,male,57,4,8.7
ds,female,58,4,22.7
ds,female,59,4,17.2
ds,female,60,4,6.4
ds,female,61,4,22.3
ds,female,62,4,21
ds,female,63,4,10.8
ds,female,65,4,14.3
ds,male,66,4,6.2
ds,female,68,4,21
ds,male,69,4,18.9
ds,female,70,4,23.9
ds,female,71,4,NA
ds,male,72,4,8.7
ds,male,73,4,11.9
ds,female,74,4,19.8
ds,male,75,4,8
ds,female,76,4,16
ds,male,77,4,20.4
ds,male,78,4,22
ds,male,79,4,19.5
ds,female,80,4,19.8
ds,male,81,4,21.8
ds,female,82,4,28.1
ds,female,83,4,8.5
ds,female,84,4,20.6
ds,male,85,4,19.9
ds,male,86,4,17
ds,female,87,4,6.5
ds,male,88,4,7.2
ds,male,89,4,18.8
ds,male,90,4,21.3
ds,female,91,4,15.5
ds,male,93,4,20.7
ds,male,94,4,14.3
ds,female,95,4,22.1
ds,male,96,4,8.3
ds,female,99,4,24.5
ds,female,100,4,8.2
sf,male,101,4,7.6
sf,male,107,4,10.5
sf,female,112,4,9.5
sf,female,113,4,6.2
sf,male,115,4,3.5
sf,male,120,4,10.9
sf,female,123,4,7.8
sf,male,135,4,6.8
sf,female,139,4,8.4
sf,male,150,4,10.6
ag,male,1,5,11.6
ag,female,2,5,7.7
ag,female,7,5,15.8
ag,male,8,5,6
ag,female,9,5,12.3
ag,female,12,5,11.6
ag,male,14,5,9.4
ag,female,15,5,11.9
