month,day,IEDemand
1,1,2817.5745833333335
1,2,3025.8693749999998
1,3,3515.754270833333
1,4,3579.354479166667
1,5,3563.3035416666667
1,6,3462.4382291666666
1,7,3154.6722916666668
1,8,2986.1866666666665
1,9,3423.2178125
1,10,3498.9453125
1,11,3529.3747916666666
1,12,3581.8726041666664
1,13,3615.494375
1,14,3280.7498958333335
1,15,3094.9955208333336
1,16,3449.0770833333336
1,17,3486.959375
1,18,3473.3865625
1,19,3483.1432291666665
1,20,3462.3401041666666
1,21,3272.45875
1,22,3139.42
1,23,3473.130625
1,24,3464.5388541666666
1,25,3463.9787499999998
1,26,3566.1035416666664
1,27,3492.4339583333335
1,28,3214.4513541666665
1,29,3105.3209375
1,30,3484.8116666666665
1,31,3475.4851041666666
2,1,3526.3313541666666
2,2,3522.7770833333334
2,3,3471.3688541666666
2,4,3193.916458333333
2,5,3074.9322916666665
2,6,3564.2483333333334
2,7,3525.099375
2,8,3571.040625
2,9,3617.409166666667
2,10,3610.1844791666667
2,11,3327.7116666666666
2,12,3267.966354166667
2,13,3622.249166666667
2,14,3628.583125
2,15,3531.7101041666665
2,16,3543.026354166667
2,17,3463.3523958333335
2,18,3135.6446875
2,19,2988.5383333333334
2,20,3394.3595833333334
2,21,3459.9207291666667
2,22,3474.5903125
2,23,3498.9934375000003
2,24,3482.0464583333332
2,25,3168.4839583333332
2,26,3038.998541666667
2,27,3446.2491666666665
2,28,3593.778333333333
3,1,3568.645
3,2,3592.4852083333335
3,3,3549.3839583333333
3,4,3221.4984375
3,5,3074.8991666666666
3,6,3490.8678125
3,7,3565.2023958333334
3,8,3473.7576041666666
3,9,3412.443125
3,10,3344.0539583333334
3,11,3082.008125
3,12,2934.2948958333336
3,13,3307.7479166666667
3,14,3345.146875
3,15,3328.6301041666666
3,16,3326.616666666667
3,17,3083.8036458333336
3,18,3013.944791666667
3,19,2914.2648958333334
3,20,3279.487291666667
3,21,3441.0753125
3,22,3518.78375
3,23,3504.216770833333
3,24,3389.1666666666665
3,25,3083.017604166667
3,26,2882.742608695652
3,27,3247.8791666666666
3,28,3343.7432291666664
3,29,3340.9440624999997
3,30,3312.3147916666667
3,31,3211.5368750000002
4,1,2967.624375
4,2,2823.2073958333335
4,3,3248.6760416666666
4,4,3279.6720833333334
4,5,3319.7791666666667
4,6,3316.2248958333334
4,7,3241.8894791666667
4,8,2943.486875
4,9,2840.92625
4,10,3226.7511458333333
4,11,3311.0017708333335
