"Statistic","Quarter","County","UNIT","VALUE"
"New House Registrations","1994Q1","All Counties","Number","5367"
"New House Registrations","1994Q1","Carlow","Number","23"
"New House Registrations","1994Q1","Dublin","Number","2852"
"New House Registrations","1994Q1","Kildare","Number","395"
"New House Registrations","1994Q1","Kilkenny","Number","49"
"New House Registrations","1994Q1","Laois","Number","56"
"New House Registrations","1994Q1","Longford","Number","0"
"New House Registrations","1994Q1","Louth","Number","124"
"New House Registrations","1994Q1","Meath","Number","130"
"New House Registrations","1994Q1","Offaly","Number","58"
"New House Registrations","1994Q1","Westmeath","Number","50"
"New House Registrations","1994Q1","Wexford","Number","68"
"New House Registrations","1994Q1","Wicklow","Number","61"
"New House Registrations","1994Q1","Clare","Number","100"
"New House Registrations","1994Q1","Cork","Number","561"
"New House Registrations","1994Q1","Kerry","Number","54"
"New House Registrations","1994Q1","Limerick","Number","212"
"New House Registrations","1994Q1","Tipperary","Number","82"
"New House Registrations","1994Q1","Waterford","Number","106"
"New House Registrations","1994Q1","Galway","Number","122"
"New House Registrations","1994Q1","Leitrim","Number","2"
"New House Registrations","1994Q1","Mayo","Number","122"
"New House Registrations","1994Q1","Roscommon","Number","18"
"New House Registrations","1994Q1","Sligo","Number","17"
"New House Registrations","1994Q1","Cavan","Number","36"
"New House Registrations","1994Q1","Donegal","Number","60"
"New House Registrations","1994Q1","Monaghan","Number","9"
"New House Registrations","1994Q2","All Counties","Number","4684"
"New House Registrations","1994Q2","Carlow","Number","36"
"New House Registrations","1994Q2","Dublin","Number","1944"
"New House Registrations","1994Q2","Kildare","Number","303"
"New House Registrations","1994Q2","Kilkenny","Number","47"
"New House Registrations","1994Q2","Laois","Number","46"
"New House Registrations","1994Q2","Longford","Number","4"
"New House Registrations","1994Q2","Louth","Number","100"
"New House Registrations","1994Q2","Meath","Number","174"
"New House Registrations","1994Q2","Offaly","Number","67"
"New House Registrations","1994Q2","Westmeath","Number","50"
"New House Registrations","1994Q2","Wexford","Number","63"
"New House Registrations","1994Q2","Wicklow","Number","98"
"New House Registrations","1994Q2","Clare","Number","96"
"New House Registrations","1994Q2","Cork","Number","527"
"New House Registrations","1994Q2","Kerry","Number","112"
"New House Registrations","1994Q2","Limerick","Number","247"
"New House Registrations","1994Q2","Tipperary","Number","81"
"New House Registrations","1994Q2","Waterford","Number","166"
"New House Registrations","1994Q2","Galway","Number","186"
"New House Registrations","1994Q2","Leitrim","Number","1"
"New House Registrations","1994Q2","Mayo","Number","116"
"New House Registrations","1994Q2","Roscommon","Number","16"
"New House Registrations","1994Q2","Sligo","Number","112"
"New House Registrations","1994Q2","Cavan","Number","25"
"New House Registrations","1994Q2","Donegal","Number","54"
"New House Registrations","1994Q2","Monaghan","Number","13"
"New House Registrations","1994Q3","All Counties","Number","4053"
"New House Registrations","1994Q3","Carlow","Number","24"
"New House Registrations","1994Q3","Dublin","Number","1381"
"New House Registrations","1994Q3","Kildare","Number","351"
"New House Registrations","1994Q3","Kilkenny","Number","70"
"New House Registrations","1994Q3","Laois","Number","47"
"New House Registrations","1994Q3","Longford","Number","9"
"New House Registrations","1994Q3","Louth","Number","163"
"New House Registrations","1994Q3","Meath","Number","135"
"New House Registrations","1994Q3","Offaly","Number","26"
"New House Registrations","1994Q3","Westmeath","Number","33"
"New House Registrations","1994Q3","Wexford","Number","67"
"New House Registrations","1994Q3","Wicklow","Number","111"
"New House Registrations","1994Q3","Clare","Number","81"
"New House Registrations","1994Q3","Cork","Number","478"
"New House Registrations","1994Q3","Kerry","Number","107"
"New House Registrations","1994Q3","Limerick","Number","203"
"New House Registrations","1994Q3","Tipperary","Number","87"
"New House Registrations","1994Q3","Waterford","Number","208"
"New House Registrations","1994Q3","Galway","Number","191"
"New House Registrations","1994Q3","Leitrim","Number","2"
"New House Registrations","1994Q3","Mayo","Number","66"
"New House Registrations","1994Q3","Roscommon","Number","8"
"New House Registrations","1994Q3","Sligo","Number","88"
"New House Registrations","1994Q3","Cavan","Number","23"
"New House Registrations","1994Q3","Donegal","Number","77"
"New House Registrations","1994Q3","Monaghan","Number","17"
"New House Registrations","1994Q4","All Counties","Number","3718"
"New House Registrations","1994Q4","Carlow","Number","27"
"New House Registrations","1994Q4","Dublin","Number","1653"
"New House Registrations","1994Q4","Kildare","Number","336"
"New House Registrations","1994Q4","Kilkenny","Number","53"
"New House Registrations","1994Q4","Laois","Number","19"
"New House Registrations","1994Q4","Longford","Number","1"
"New House Registrations","1994Q4","Louth","Number","140"
"New House Registrations","1994Q4","Meath","Number","97"
"New House Registrations","1994Q4","Offaly","Number","20"
"New House Registrations","1994Q4","Westmeath","Number","21"
"New House Registrations","1994Q4","Wexford","Number","69"
"New House Registrations","1994Q4","Wicklow","Number","59"
"New House Registrations","1994Q4","Clare","Number","89"
"New House Registrations","1994Q4","Cork","Number","400"
"New House Registrations","1994Q4","Kerry","Number","88"
"New House Registrations","1994Q4","Limerick","Number","170"
"New House Registrations","1994Q4","Tipperary","Number","56"
"New House Registrations","1994Q4","Waterford","Number","80"
"New House Registrations","1994Q4","Galway","Number","124"
"New House Registrations","1994Q4","Leitrim","Number","0"
"New House Registrations","1994Q4","Mayo","Number","93"
"New House Registrations","1994Q4","Roscommon","Number","12"
"New House Registrations","1994Q4","Sligo","Number","28"
"New House Registrations","1994Q4","Cavan","Number","22"
"New House Registrations","1994Q4","Donegal","Number","50"
"New House Registrations","1994Q4","Monaghan","Number","11"
"New House Registrations","1995Q1","All Counties","Number","6079"
