salary educ pexp time gender
3900  12 0 1 1
4020 10 44 7 1
4290 12 5 30 1
4380 8 6.2 7 1
4380 8 7.5 6 1
4380 12 0 7 1
4380 12 0 10 1
4380 12 4.5 6 1
4440 15 75 2 1
4500 8 52 3 1
4500 12 8 19 1
4620 12 52 3 1
4800 8 70 20 1
4800 12 6 23 1
4800  12 11 12 1
4800 12 11 17 1
4800 12 63 22 1
4800 12 144 24 1
4800 12  163 12 1
4800 12  228 26 1
4800 12  381 1 1
4800 16  214 15 1
4980 8 318 25 1
5100 8 96 33 1
5100 12 36 15 1
5100 12 29 14 1
5100 15 115 1 1
5100  15 165 4 1
5100 16 123 12 1
5160 12 18 12 1
5220 12 127 29 1
5280 8 90 11 1
5280 8 190 1 1
5280 12 107 11 1
5400 8 173  34 1
5400 8 228 33 1
5400 12 26 11 1
5400 12 26 33 1
5400 12 38 22 1
5400 12 82 29 1
5400 12 169 27 1
5400 12 244 1 1
5400 15 24 13 1
5400 15 49 27 1
5400 15 51 21 1
5400 15 122 33 1
5520 12 196 32 1
5520 12 97 17 1
5580 12 132.5 30 1
5640 12 55 9 1
5700 12 90 23 1
5700 12 116.5 25 1
5700 15 51 17 1
5700 15 61 11 1
5700 15 241 31 1
6000 12 121 30 1
6000 15 78.5 13 1
6120 12 208.5 21 1
6300 12 86.5 33 1
6300 15 231 15 1
4620 12 11.5 22 0
5040 15 14 3 0
5100 12 180 15 0
5100 12 315 2 0
5220 12 29 14 0
5400 12 7 21 0
5400 12 38 11 0
5400 12 113 3 0
5400 15 17.5 8 0
5400 15 359 11 0
5700 15 36 5 0
6000 8 320 21 0
6000 12 24 2 0
6000 12 32 17 0
6000 12 49 8 0
6000 12 56 33 0
6000 12 252 11 0
6000 12 272 19 0
6000 15 25 13 0
6000 15 35.5 32 0
6000 15 56 12 0
6000 15 64 33 0
6000 15 108 16 0
6000 16 45.5 3 0
6300 15 72 17 0
6600 15 64 16 0
6600 15 84 33 0
6600 15 215.5 16 0
6840 15 41.5 7 0
6900 12 175 10 0
8100 16 54.5 33 0
